2025-03-28T18:02:56.606254 - 🌐 Server starting on ws://192.168.4.246:19131
2025-03-28T18:06:05.778667 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.808226 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.903362 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:06.009578 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:06.658789 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:06.866726 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.032601 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.157131 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.314427 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.532669 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.657061 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.667063 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.811843 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:07.919187 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.104846 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.168377 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.309482 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.341647 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.354505 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.364060 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.373551 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.416683 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.481905 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.494530 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.544110 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.611284 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.620677 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.750512 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.778687 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.788986 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.919352 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.968978 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.979727 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:08.990306 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.057622 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.412351 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.441849 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.452870 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.504639 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.515145 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.533411 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.566305 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.594066 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.673664 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.735022 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:09.887160 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:14.594641 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:14.824841 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:16.222309 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:17.272800 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:17.674575 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:18.918429 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:19.661185 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:20.433419 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:21.184719 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:22.265113 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:22.479086 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:23.138041 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:23.711608 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
